Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
PAGS|IRISDMC|PE|40.2277|-76.7222|8.33756117021868|99.97566447729669|120|PA Geological Survey, Middletown, PA
KILO|IRISDMC|CN|48.4972|-79.7232|8.342060157253751|38.191070738266575|314|Kirkland Lake, ON, CA
Y49A|IRISDMC|N4|33.8577|-86.4119|8.372126354114663|173.76453343393922|362|Blount Mountain, AL, USA
SOLO|IRISDMC|CN|50.0215|-92.0808|8.45002204087333|-20.42373707521896|370|Sioux Lookout, ON, CA
Y45B|IRISDMC|N4|33.8656|-89.5431|8.473200366214204|-168.42785019791523|101|Coffeeville, MS, USA
AGMN|IRISDMC|US|48.2977|-95.8619|8.475325808156748|-41.0091248952488|351|Agassiz National Wildlife Refuge, Minnesota, USA
R58B|IRISDMC|N4|37.9636|-77.8787|8.48147209107829|116.6577516585364|116|Mineral, VA, USA
J57A|IRISDMC|N4|43.4099|-75.9968|8.52402553582652|77.86177125811611|191|Williamstown, NY, USA
BINY|IRISDMC|US|42.1993|-75.9861|8.52637017386887|86.03495080646793|498|Binghamton, New York, USA
KMSC|IRISDMC|N4|35.142|-81.3333|8.528158950486986|143.65553620314412|240|Kings Moutain, Blacksburg, SC, USA
PSWB|IRISDMC|PE|41.305473|-76.015182|8.60968911976701|92.01282322842603|398|PSU Wilkes-Barre Campus, Wilkes-Barre, PA
SUSD|IRISDMC|N4|44.4429|-98.9556|8.624906395863897|-70.95730804028003|520|Miller, SD, USA
PSSK|IRISDMC|PE|40.642586|-76.164978|8.63506914477593|96.49619911421348|227|PSU Schuylkill Campus, Schuylkill Haven, PA
EPLO|IRISDMC|CN|49.6737|-93.7258|8.64174559839794|-27.829450811496645|437.3|Exp. Lake, ON, CA
HLIO|IRISDMC|CN|44.366|-75.954|8.678216487261304|71.54572715852544|47|Mallorytown, ON, CA
