Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
RAO|IRISDMC|IU|-29.245|-177.929|52.70232140129733|-155.29112033613038|60|Raoul, Kermadec Islands
FFC|IRISDMC|II|54.725|-101.9783|53.97495061682873|35.054994632859575|338|Flin Flon, Canada
BILL|IRISDMC|IU|68.0653|166.4531|54.70428204174208|-16.37364475992481|320|Bilibino, Russia
HKT|IRISDMC|IU|29.96478|-95.83812|54.90148244004279|66.08167029171227|56|Hockley, Texas
MA2|IRISDMC|IU|59.5756|150.77|55.81082571345189|-29.564601232379047|337|Magadan, Russia
ERM|IRISDMC|II|42.015|143.1572|56.39442366423119|-51.497952944593465|40|Erimo, Hokkaido Island, Japan
YSS|IRISDMC|IU|46.9587|142.7604|57.184818554619376|-45.65449724465599|150|Yuzhno Sakhalinsk, Russia
GUMO|IRISDMC|IU|13.5893|144.8684|57.22735717272942|-85.65229216551478|142|Guam, Mariana Islands
CCM|IRISDMC|IU|38.0557|-91.2446|58.51492770853801|56.293229226750256|222|Cathedral Cave, Missouri, USA
MAJO|IRISDMC|IU|36.54567|138.20406|60.12365231749674|-58.01329364904232|405|Matsushiro, Japan
WVT|IRISDMC|IU|36.1297|-87.83|61.29235567057982|58.428414708691214|170|Waverly, Tennessee, USA
WCI|IRISDMC|IU|38.2289|-86.2939|62.40220119264866|55.97671429587631|210|Wyandotte Cave, Indiana, USA
TEIG|IRISDMC|IU|20.22624|-88.27633|62.93608346142008|76.34749450335211|32|Tepich, Yucatan, Mexico
PMG|IRISDMC|IU|-9.4047|147.1597|63.154414116094244|-111.46870543442135|90|Port Moresby, New Guinea
RPN|IRISDMC|II|-27.1267|-109.3344|64.14748083303988|134.4617279282213|110|Rapanui, Easter Island, Chile
TGUH|IRISDMC|CU|14.057|-87.273|65.25780437865528|82.79161525369776|1160|Tegucigalpa, Honduras
SNZO|IRISDMC|IU|-41.3087|174.7043|66.15753982062438|-155.9365592206233|120|South Karori, New Zealand
MDJ|IRISDMC|IC|44.61763|129.59341|66.27572683172218|-48.64218232541256|290|Mudanjiang, Heilongjiang Province, China
YAK|IRISDMC|IU|62.031|129.6805|66.33612993703204|-29.61158898783281|110|Yakutsk, Russia
PAYG|IRISDMC|IU|-0.6742|-90.2861|66.8844570521635|99.1488302093995|270|Puerto Ayora, Galapagos Islands
DWPF|IRISDMC|IU|28.1103|-81.4327|67.6166331567426|66.5478135444842|30|Disney Wilderness Preserve, Florida, USA
TIXI|IRISDMC|IU|71.6341|128.8667|67.64727521932609|-19.268108592759273|40|Tiksi, Russia
JTS|IRISDMC|II|10.2908|-84.9525|68.44687188955263|86.0833802223704|340|Las Juntas de Abangares, Costa Rica
SSPA|IRISDMC|IU|40.6358|-77.8876|68.66305438651035|52.73301526807223|270|Standing Stone, Pennsylvania
CTAO|IRISDMC|IU|-20.08765|146.24998|69.06313490854666|-121.25904366192024|367|Charters Towers, Australia
INCN|IRISDMC|IU|37.47768|126.62436|69.2429897365941|-56.06395854748273|55|Inchon, Republic of Korea
ALE|IRISDMC|II|82.5033|-62.35|71.7599012359935|7.883564938742814|60|Alert, NU, Canada
HIA|IRISDMC|IC|49.270115|119.741363|72.4717112921122|-42.95114336478554|625|Hailar, Neimenggu Autonomous Region, China
HRV|IRISDMC|IU|42.5064|-71.5583|73.06487194127843|50.02762184369709|200|Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA
MTDJ|IRISDMC|CU|18.22605|-77.53454|73.26565325826625|75.9616451507289|925|Mount Denham, Jamaica
BCIP|IRISDMC|CU|9.1665|-79.8373|73.59892855629546|85.69162943576728|61|Isla Barro Colorado, Panama
SSE|IRISDMC|IC|31.09455|121.18863|74.84710869831507|-61.772187201484776|20|Shanghai, China
GTBY|IRISDMC|CU|19.9268|-75.1108|75.04265675677271|73.64149220549383|79.2|Guantanamo Bay, Cuba
